event_index,src_lon,src_lat,src_x[km],src_y[km],src_z[km],station_index,travel_time,network,station,station_latitude,station_longitude,station_elevation,station_starttime,station_endtime,channel,location_code,latitude,longitude,elevation,depth,site,epoch,starttime,endtime,equipment,sampling_rate,sensitivity,frequency,azimuth,dip,x[km],y[km],z[km],phasehint
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,231,2.294911680893495,TX,PB24,31.61979,-104.01776,997.0,2022-07-11T16:00:00.000000Z,,HHE,0.0,31.61979,-104.01776,0.997,0.0,Broken Spoke SWD,0,2022-07-11T16:00:00.000000Z,,"Silicon Audio, Inc. 113P-10",100.0,193660850.2077828,1.0,90.0,0.0,3713.5049815933653,-11579.204076656939,-0.997,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,51,5.329319728148455,4O,WB05,31.7537807,-103.8329479,854.81,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHE,0.0,31.7537807,-103.8329479,0.85481,0.0,Waterbridge,0,2022-08-26T19:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 213P-40,200.0,361553486.7980263,1.0,90.0,0.0,3731.033735426106,-11558.630887792504,-0.85481,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,256,5.6072128763207925,TX,PB56,31.8032778,-103.8703449,867.0,2024-03-20T14:00:00.000000Z,,CHE,0.0,31.8032778,-103.8703449,0.867,0.0,BPX Cardinal SWD,0,2024-03-20T14:00:00.000000Z,,Silicon Audio 213P-40,250.0,239989651.54648724,1.0,90.0,0.0,3737.515392201197,-11562.793902789701,-0.867,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,41,6.104010289432762,4O,SA02,31.67163,-104.2649,1127.5,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,0.0,31.67163,-104.2649,0.76,0.0,Saturn HM Philips State 94 Lease,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,3720.2837249648182,-11606.71557561159,-0.76,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,59,6.405261229197452,4O,CV01,31.8504,-104.0889,983.0,2022-11-08T18:13:10.000000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.8504,-104.0889,0.983,0.0,Chevron WTX40,0,2022-11-08T18:13:10.000000Z,2030-11-04T20:44:14.000000Z,Nanometrics Trillium Compact,200.0,301239972.44999313,1.0,0.0,-90.0,3743.6892823349935,-11587.123345231972,-0.983,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,42,6.817908883156007,4O,SA04,31.75593,-104.25458,1092.1,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,0.0,31.75593,-104.25458,0.76,0.0,Saturn Double C SWD Lease,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,3731.3151147449043,-11605.566758466603,-0.76,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,62,6.934226515767226,4O,BP01,31.8409,-103.8244,806.0,2023-02-03T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,,31.8409,-103.8244,0.806,0.0,BPX,0,2023-02-16T20:55:25.000000Z,2030-11-04T20:44:14.000000Z,Nanometrics TrilliumCompact20,200.0,301240111.11344576,1.0,0.0,-90.0,3742.444350837782,-11557.679339917151,-0.806,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,43,5.282904387184742,4O,SA06,31.75696,-104.14971,1048.2,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,HHZ,0.0,31.75696,-104.14971,0.76,0.0,Saturn I Take It All C SWD,0,2021-12-07T12:00:00.000000Z,2030-11-04T20:44:14.000000Z,Silicon Audio 113P-10,200.0,229560561.7684149,1.0,0.0,-90.0,3731.449961288141,-11593.892683467113,-0.76,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,159,7.746456542867736,TX,PB09,31.774145,-104.301444,1139.0,2019-05-22T00:00:00.000000Z,,HHN,0.0,31.774145,-104.301444,1.139,0.0,Culberson County,0,2019-05-22T00:00:00.000000Z,,Guralp CMG-40T,200.0,327893563.4134574,1.0,0.0,0.0,3733.7000252827866,-11610.78363508314,-1.139,P
0,-103.99879,31.63675,3715.722302649872,-11577.092345916592,6.903,234,9.178861177234692,TX,PB36,31.680262,-104.425899,1218.0,2022-07-27T00:00:00.000000Z,,HHZ,0.0,31.680262,-104.425899,1.218,0.0,UTL Block 46,0,2022-07-27T00:00:00.000000Z,,Nanometrics Trillium Compact,100.0,301239970.8328601,1.0,0.0,-90.0,3721.412836742091,-11624.637902309814,-1.218,P
